ID,抽签,解签
40,祝抽中的小伙伴能夠健健康康的飯我們崽崽（@長不高的小甜飯little little lunch 定制）,身体健康！
41,【灰灰请你吃海底捞】（@夏宇 定制）,店自己开，火锅自己做
42,【抽票大吉】脱非入欧，逢抽必中(@Incubator 定制),恭喜获得抽票100%必中权(这是嘴炮)
43,【出坑灰】我感觉饭偶像没有了生活的乐趣，因为毕竟总选了我要出坑（@夕枫晚照 定制）,我8月的时候还是会回来的
44,想要灰灰给你笔芯吗？请解签(@大A的饭头 定制),梦里什么都有
45,恭喜你抽到了最可爱的星座(@大A 定制),天秤座
46,【小学校霸灰】(@触手天国 定制),抽到的人会有王霸之气，抵御熊孩子攻击
47,【兔子玩偶】是可以被灰灰抱在怀里的兔子玩偶哦￥99（ @秋穆 定制）,别做梦了，就算你有99块的兔子玩偶也撩不到老攻的
48,走尽天涯，风霜历遍，不如问人三天，渐渐有回首见。 ,冒目躁进必白费功夫，应就教贤达。
49,【甜甜灰】来握手吗？来的话给你体验一下新饭福利——甜系偶像喔！（@kasumii是隻S喵 定制）,哼，谁要甜你呢
50,款款祝你财运旺（@一元 定制）,追随款款发大财
51,【日记灰】今天也要被灰灰记一笔（@向阳花开的地方 定制）,x年x月x日 总之 记一笔
52,请疯狂给灰灰打call（@二毛 定制）,大闪自己买一下
53,【旅行款款】 恭喜你收到款款寄回的明信片一张。（@雨落云升 定制）,不要多想，都是风景，没有自拍。
54,【恶魔灰】  被恶魔灰缠身，今天不论做什么事情都会分散一部分注意力想灰灰（啊！她在我脑袋里开Party ！）（@流浪的青蛙 定制）,毕竟老夫也不是什么恶魔嘛、啾咪~
55,【甜灰】你的心迷路到我这里（@一元 定制）,那就不会还回去啦
56,【CEO】恭喜成为一日限定款尚公司CEO（@尾巴 定制）,醒醒！你活在梦里吗？
57,【假面灰】变身！（@ParadoxICE 定制）,輝け！ の如く！劇場の最強ダンサー！
58,【外卖灰】定送一份香甜可口的串串香（@无尘 定制）,钱自己付，要double
59,【天使灰】被天使灰不小心掉落的魔法棒砸中，耳边会一直出现让你去做好事的叨叨声，今天做一件帮助他人的事儿也许能赶走这叨叨。（@流浪的青蛙 定制）,快去做好事啦，即便是再小的事也是有意义的哟，到时候我给你发好人卡呀~
